* Measurement data measured by REW V5.20.7
* Source:
* Format: Comma/Tab/Space delimited data
* Dated: 16 Apr, 2023 9:38:22 PM
75.000000, 2.382
76.199997, 2.390
77.500000, 2.382
78.800003, 2.366
80.000000, 2.363
81.199997, 2.362
82.500000, 2.350
83.800003, 2.334
85.000000, 2.334
86.199997, 2.335
87.500000, 2.307
88.500000, 2.301
90.000000, 2.302
91.199997, 2.287
92.500000, 2.281
93.800003, 2.277
95.000000, 2.260
96.199997, 2.252
97.500000, 2.251
98.800003, 2.231
100.000000, 2.222
101.500000, 2.221
103.000000, 2.191
104.400002, 2.197
106.000000, 2.170
107.500000, 2.158
109.000000, 2.145
110.599998, 2.133
112.000000, 2.118
113.800003, 2.103
115.000000, 2.091
117.199997, 2.066
118.000000, 2.058
120.599998, 2.034
122.000000, 2.018
124.099998, 1.997
125.000000, 1.988
126.500000, 1.976
128.000000, 1.958
131.500000, 1.917
132.000000, 1.913
134.000000, 1.894
136.000000, 1.874
138.000000, 1.857
140.000000, 1.837
143.000000, 1.805
145.000000, 1.787
147.500000, 1.765
150.000000, 1.743
152.500000, 1.723
155.000000, 1.701
157.500000, 1.679
160.000000, 1.660
162.500000, 1.641
165.000000, 1.619
167.500000, 1.608
170.000000, 1.592
172.500000, 1.564
175.000000, 1.545
177.500000, 1.532
180.000000, 1.516
182.500000, 1.501
185.000000, 1.486
187.500000, 1.469
190.000000, 1.456
192.500000, 1.439
195.000000, 1.426
197.500000, 1.408
200.000000, 1.399
203.000000, 1.384
206.000000, 1.364
209.000000, 1.345
212.000000, 1.333
214.000000, 1.326
218.000000, 1.300
220.000000, 1.293
224.000000, 1.276
227.000000, 1.262
230.000000, 1.243
233.000000, 1.235
236.000000, 1.223
240.000000, 1.207
243.000000, 1.193
247.000000, 1.173
250.000000, 1.160
254.000000, 1.145
258.000000, 1.131
262.000000, 1.113
265.000000, 1.104
269.000000, 1.086
272.000000, 1.077
276.000000, 1.060
280.000000, 1.048
285.000000, 1.028
290.000000, 1.011
295.000000, 0.995
300.000000, 0.976
304.000000, 0.966
307.000000, 0.953
311.000000, 0.942
315.000000, 0.931
320.000000, 0.917
325.000000, 0.898
330.000000, 0.886
335.000000, 0.867
340.000000, 0.857
345.000000, 0.843
350.000000, 0.830
355.000000, 0.812
360.000000, 0.802
365.000000, 0.789
370.000000, 0.778
375.000000, 0.759
382.000000, 0.745
387.000000, 0.732
395.000000, 0.714
400.000000, 0.704
406.000000, 0.687
412.000000, 0.672
418.000000, 0.660
425.000000, 0.645
431.000000, 0.632
437.000000, 0.620
444.000000, 0.605
450.000000, 0.594
455.000000, 0.582
462.000000, 0.564
468.000000, 0.556
475.000000, 0.541
482.000000, 0.529
487.000000, 0.517
494.000000, 0.513
500.000000, 0.506
508.000000, 0.474
515.000000, 0.466
522.000000, 0.456
530.000000, 0.454
538.000000, 0.420
545.000000, 0.417
552.000000, 0.406
560.000000, 0.395
570.000000, 0.377
580.000000, 0.362
590.000000, 0.349
600.000000, 0.343
608.000000, 0.311
615.000000, 0.309
622.000000, 0.300
630.000000, 0.295
640.000000, 0.285
650.000000, 0.255
660.000000, 0.249
670.000000, 0.241
680.000000, 0.235
690.000000, 0.203
700.000000, 0.212
710.000000, 0.181
720.000000, 0.183
730.000000, 0.167
740.000000, 0.150
750.000000, 0.155
762.000000, 0.121
775.000000, 0.128
788.000000, 0.098
800.000000, 0.102
812.000000, 0.083
825.000000, 0.073
838.000000, 0.065
850.000000, 0.039
862.000000, 0.046
875.000000, 0.029
885.000000, 0.020
900.000000, 0.020
912.000000, 0.020
925.000000, -0.012
938.000000, -0.008
950.000000, -0.004
962.000000, -0.005
975.000000, -0.004
988.000000, -0.004
1000.000000, 0.005
1015.000000, 0.082
1030.000000, 0.135
1044.000000, 0.193
1060.000000, 0.275
1075.000000, 0.340
1090.000000, 0.432
1106.000000, 0.540
1120.000000, 0.640
1138.000000, 0.768
1150.000000, 0.852
1172.000000, 1.009
1180.000000, 1.061
1206.000000, 1.242
1220.000000, 1.333
1241.000000, 1.468
1250.000000, 1.524
1265.000000, 1.617
1280.000000, 1.707
1315.000000, 1.902
1320.000000, 1.927
1340.000000, 2.025
1360.000000, 2.129
1380.000000, 2.225
1400.000000, 2.316
1430.000000, 2.481
1450.000000, 2.548
1475.000000, 2.656
1500.000000, 2.764
1525.000000, 2.877
1550.000000, 2.988
1575.000000, 3.095
1600.000000, 3.208
1625.000000, 3.325
1650.000000, 3.450
1675.000000, 3.571
1700.000000, 3.700
1725.000000, 3.832
1750.000000, 3.969
1775.000000, 4.076
1800.000000, 4.195
1825.000000, 4.356
1850.000000, 4.511
1875.000000, 4.657
1900.000000, 4.803
1925.000000, 4.949
1950.000000, 5.097
1975.000000, 5.243
2000.000000, 5.390
2030.000000, 5.561
2060.000000, 5.724
2090.000000, 5.884
2120.000000, 6.046
2140.000000, 6.153
2180.000000, 6.396
2200.000000, 6.473
2240.000000, 6.641
2270.000000, 6.792
2300.000000, 6.929
2330.000000, 7.065
2360.000000, 7.202
2400.000000, 7.356
2430.000000, 7.464
2470.000000, 7.596
2500.000000, 7.690
2540.000000, 7.805
2580.000000, 7.919
2620.000000, 8.027
2650.000000, 8.085
2690.000000, 8.156
2720.000000, 8.201
2760.000000, 8.253
2800.000000, 8.296
2850.000000, 8.335
2900.000000, 8.357
2950.000000, 8.370
3000.000000, 8.364
3040.000000, 8.342
3070.000000, 8.332
3110.000000, 8.303
3150.000000, 8.271
3200.000000, 8.227
3250.000000, 8.158
3300.000000, 8.093
3350.000000, 8.026
3400.000000, 7.981
3450.000000, 7.883
3500.000000, 7.801
3550.000000, 7.746
3600.000000, 7.654
3650.000000, 7.558
3700.000000, 7.459
3750.000000, 7.361
3820.000000, 7.223
3870.000000, 7.124
3950.000000, 6.960
4000.000000, 6.860
4060.000000, 6.737
4120.000000, 6.617
4180.000000, 6.496
4250.000000, 6.361
4310.000000, 6.244
4370.000000, 6.126
4440.000000, 5.996
4500.000000, 5.883
4550.000000, 5.792
4620.000000, 5.672
4680.000000, 5.573
4750.000000, 5.459
4820.000000, 5.348
4870.000000, 5.273
4940.000000, 5.173
5000.000000, 5.090
5080.000000, 4.983
5150.000000, 4.894
5220.000000, 4.793
5300.000000, 4.652
5380.000000, 4.563
5450.000000, 4.525
5520.000000, 4.445
5600.000000, 4.326
5700.000000, 4.208
5800.000000, 4.118
5900.000000, 3.980
6000.000000, 3.851
6080.000000, 3.746
6150.000000, 3.654
6220.000000, 3.565
6300.000000, 3.466
6400.000000, 3.342
6500.000000, 3.223
6600.000000, 3.106
6700.000000, 2.989
6800.000000, 2.873
6900.000000, 2.761
7000.000000, 2.653
7100.000000, 2.548
7200.000000, 2.440
7300.000000, 2.332
7400.000000, 2.231
7500.000000, 2.129
7620.000000, 2.008
7750.000000, 1.884
7880.000000, 1.763
8000.000000, 1.653
8120.000000, 1.543
8250.000000, 1.422
8380.000000, 1.304
8500.000000, 1.199
8620.000000, 1.090
8750.000000, 0.974
8850.000000, 0.890
9000.000000, 0.760
9120.000000, 0.652
9250.000000, 0.539
9380.000000, 0.423
9500.000000, 0.320
9620.000000, 0.214
9750.000000, 0.091
9880.000000, -0.029
10000.000000, -0.139
10150.000000, -0.274
10300.000000, -0.406
10440.000000, -0.560
10600.000000, -0.761
10750.000000, -0.887
10900.000000, -1.055
11060.000000, -1.189
11200.000000, -1.321
11380.000000, -1.501
11500.000000, -1.588
11720.000000, -1.789
11800.000000, -1.856
12060.000000, -2.098
12200.000000, -2.230
12410.000000, -2.420
12500.000000, -2.502
12650.000000, -2.638
12800.000000, -2.772
13150.000000, -3.080
13200.000000, -3.124
13400.000000, -3.297
13600.000000, -3.464
13800.000000, -3.631
14000.000000, -3.805
14300.000000, -4.053
14500.000000, -4.216
14750.000000, -4.415
15000.000000, -4.605
15250.000000, -4.797
15500.000000, -4.989
15750.000000, -5.176
16000.000000, -5.358
16250.000000, -5.538
16500.000000, -5.715
16750.000000, -5.886
17000.000000, -6.057
17250.000000, -6.226
17500.000000, -6.389
17750.000000, -6.550
18000.000000, -6.710
18250.000000, -6.867
18500.000000, -7.020
18750.000000, -7.174
19000.000000, -7.323
19250.000000, -7.471
19500.000000, -7.619
19750.000000, -7.767
20000.000000, -7.893
